S12A2_HUMAN	P55011
UN13D_HUMAN	Q70J99
SPAT2_HUMAN	Q9UM82
UBP19_HUMAN	O94966
ITB1_HUMAN	P05556
RABL6_HUMAN	Q3YEC7
HMCS1_HUMAN	Q01581
EHD3_HUMAN	Q9NZN3
THOC1_HUMAN	Q96FV9
HECAM_HUMAN	Q14CZ8
CEP41_HUMAN	Q9BYV8
PLCB1_HUMAN	Q9NQ66
CERT_HUMAN	Q9Y5P4
FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	P21333
PARVA_HUMAN	Q9NVD7
ERP44_HUMAN	Q9BS26
FAK2_HUMAN	Q14289
MAOX_HUMAN	P48163
CD38_HUMAN	P28907
CCNK_HUMAN	O75909
LYPA2_HUMAN	O95372
P66B_HUMAN	Q8WXI9
NMRL1_HUMAN	Q9HBL8
CLIC2_HUMAN	O15247
HCD2_HUMAN	Q99714
NUCB1_HUMAN	Q02818
CTBP2_HUMAN	P56545
APOA1_HUMAN	P02647
LDB3_HUMAN	O75112
AASD1_HUMAN	Q9BTE6
CBR1_HUMAN	P16152
AATF_HUMAN	Q9NY61
MLEC_HUMAN	Q14165
NDRG4_HUMAN	Q9ULP0
METK2_HUMAN	P31153
SMAP2_HUMAN	Q8WU79
RAB4B_HUMAN	P61018
MDHC_HUMAN	P40925
MTO1_HUMAN	Q9Y2Z2
BOLA2_HUMAN	Q9H3K6
RTCB_HUMAN	Q9Y3I0
P4K2A_HUMAN	Q9BTU6
NHEJ1_HUMAN	Q9H9Q4
ELK1_HUMAN	P19419
MPP2_HUMAN	Q14168
OGDHL_HUMAN	Q9ULD0
P3H1_HUMAN	Q32P28
MARE2_HUMAN	Q15555
LIPB2_HUMAN	Q8ND30
CC181_HUMAN	Q5TID7
WDR18_HUMAN	Q9BV38
SSU72_HUMAN	Q9NP77
SHC1_HUMAN	P29353
NT5D3_HUMAN	Q86UY8
IP6K1_HUMAN	Q92551
LICH_HUMAN	P38571
CPNE3_HUMAN	O75131
RM38_HUMAN	Q96DV4
QORL1_HUMAN	O95825
HDGR3_HUMAN	Q9Y3E1
MA2B1_HUMAN	O00754
FBX7_HUMAN	Q9Y3I1
ITAL_HUMAN	P20701
FIBP_HUMAN	O43427
SNX30_HUMAN	Q5VWJ9
UQCC2_HUMAN	Q9BRT2
MYH11_HUMAN;MYH9_HUMAN	P35749
CAB45_HUMAN	Q9BRK5
CMC1_HUMAN	O75746
HAP40_HUMAN	P23610
CE170_HUMAN	Q5SW79
VP33A_HUMAN	Q96AX1
MOT1_HUMAN	P53985
CNDP2_HUMAN	Q96KP4
ZW10_HUMAN	O43264
RT22_HUMAN	P82650
ERAP1_HUMAN	Q9NZ08
RABX5_HUMAN	Q9UJ41
MIEN1_HUMAN	Q9BRT3
FARP1_HUMAN	Q9Y4F1
GPAM1_HUMAN	Q8IXQ4
HS904_HUMAN	Q58FG1
KS6A5_HUMAN	O75582
AHSP_HUMAN	Q9NZD4
TCTP_HUMAN	P13693
HG2A_HUMAN	P04233
STK3_HUMAN	Q13188
NUMB_HUMAN	P49757
PRUN2_HUMAN	Q8WUY3
NECA1_HUMAN	Q8N987
ARBK1_HUMAN	P25098
GRK5_HUMAN	P34947
KS6A1_HUMAN;KS6A2_HUMAN;KS6A3_HUMAN	Q15418
KAPCB_HUMAN	P22694
KAPCA_HUMAN	P17612
BRSK1_HUMAN;BRSK2_HUMAN	Q8TDC3
KCC1B_HUMAN	Q6P2M8
KCC1A_HUMAN	Q14012
AAPK1_HUMAN;AAPK2_HUMAN	Q13131
CELF4_HUMAN	Q9BZC1
CDK1_HUMAN	P06493
CDK17_HUMAN	Q00537
CDK5_HUMAN	Q00535
MK09_HUMAN;MK10_HUMAN	P45984
MIPEP_HUMAN	Q99797
ANXA5_HUMAN	P08758
CC062_HUMAN	Q6ZUJ4
CYTSB_HUMAN	Q5M775
Z3H7B_HUMAN	Q9UGR2
GANP_HUMAN	O60318
ECHD1_HUMAN	Q9NTX5
RS27L_HUMAN	Q71UM5
MK14_HUMAN	Q16539
SNTB1_HUMAN	Q13884
MARC1_HUMAN	Q5VT66
APBB1_HUMAN	O00213
WDR11_HUMAN	Q9BZH6
PPIP2_HUMAN	Q9H939
CDC73_HUMAN	Q6P1J9
LANC2_HUMAN	Q9NS86
RGS20_HUMAN	O76081
ANXA7_HUMAN	P20073
PPIL2_HUMAN	Q13356
TMEDA_HUMAN	P49755
GIMA7_HUMAN	Q8NHV1
STS_HUMAN	P08842
ARP2_HUMAN	P61160
ABCD3_HUMAN	P28288
AIDA_HUMAN	Q96BJ3
CP51A_HUMAN	Q16850
ERLN1_HUMAN	O75477
KRT85_HUMAN	P78386
RTF1_HUMAN	Q92541
HCN1_HUMAN	O60741
KCNJ4_HUMAN	P48050
P33MX_HUMAN	Q96A73
HNRH1_HUMAN;HNRH2_HUMAN	P31943
VPP3_HUMAN	Q13488
SRP68_HUMAN	Q9UHB9
BIG1_HUMAN	Q9Y6D6
PGS1_HUMAN	P21810
ARL8A_HUMAN	Q96BM9
CHIN_HUMAN	P15882
CHIO_HUMAN	P52757
PGS2_HUMAN	P07585
NU205_HUMAN	Q92621
PI42B_HUMAN	P78356
4EBP1_HUMAN	Q13541
APC1_HUMAN	Q9H1A4
FINC_HUMAN	P02751
SYT2_HUMAN	Q8N9I0
UBX2B_HUMAN	Q14CS0
AGRG1_HUMAN	Q9Y653
SUN1_HUMAN	O94901
KCD12_HUMAN	Q96CX2
S12A7_HUMAN	Q9Y666
S10A9_HUMAN	P06702
ITPR1_HUMAN;ITPR3_HUMAN	Q14643
SYT1_HUMAN	P21579
FYB1_HUMAN	O15117
AFAD_HUMAN	P55196
PTPRC_HUMAN	P08575
KIF3A_HUMAN	Q9Y496
MB12B_HUMAN	Q9H7P6
NAA10_HUMAN	P41227
PTN6_HUMAN	P29350
PRDX3_HUMAN	P30048
STMN1_HUMAN;STMN2_HUMAN	P16949
CHD1L_HUMAN	Q86WJ1
COMD9_HUMAN	Q9P000
RM11_HUMAN	Q9Y3B7
RAB34_HUMAN	Q9BZG1
AN32E_HUMAN	Q9BTT0
HNRPF_HUMAN	P52597
TRM1_HUMAN	Q9NXH9
ACTA_HUMAN;ACTBL_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN	P62736
PDS5A_HUMAN;PDS5B_HUMAN	Q29RF7
HNRDL_HUMAN	O14979
PITH1_HUMAN	Q9GZP4
SHSA4_HUMAN	Q96DD7
G137B_HUMAN	O60478
SPTB2_HUMAN;SPTN2_HUMAN	Q01082
RL18A_HUMAN	Q02543
LOX5_HUMAN	P09917
T3HPD_HUMAN	Q96EM0
SRR_HUMAN	Q9GZT4
T2FB_HUMAN	P13984
ATLA2_HUMAN	Q8NHH9
UBP34_HUMAN	Q70CQ2
OXSR1_HUMAN	O95747
GCYB1_HUMAN	Q02153
TMM43_HUMAN	Q9BTV4
ACSF2_HUMAN	Q96CM8
ACTA_HUMAN;ACTC_HUMAN;ACTH_HUMAN	P62736
ACTC_HUMAN;ACTH_HUMAN	P68032
ACTA_HUMAN;ACTH_HUMAN	P62736
ACTA_HUMAN;ACTC_HUMAN	P62736
ACTBL_HUMAN	Q562R1
MICA1_HUMAN	Q8TDZ2
EFR3A_HUMAN	Q14156
GPM6A_HUMAN	P51674
FACE1_HUMAN	O75844
GPC1_HUMAN	P35052
SNP23_HUMAN	O00161
ARHG1_HUMAN	Q92888
SMRC1_HUMAN	Q92922
TYSY_HUMAN	P04818
DCAF7_HUMAN	P61962
MTM1_HUMAN	Q13496
NDUB8_HUMAN	O95169
RRAGA_HUMAN	Q7L523
RS15_HUMAN	P62841
DAAM1_HUMAN;DAAM2_HUMAN	Q9Y4D1
DDI2_HUMAN	Q5TDH0
ANKY2_HUMAN	Q8IV38
CAMP2_HUMAN	Q08AD1
DOCK7_HUMAN	Q96N67
EF1A2_HUMAN	Q05639
EIF3I_HUMAN	Q13347
CLVS2_HUMAN	Q5SYC1
GON7_HUMAN	Q9BXV9
NUDC_HUMAN	Q9Y266
SRP54_HUMAN	P61011
EZRI_HUMAN	P15311
M3K5_HUMAN	Q99683
TBC13_HUMAN	Q9NVG8
CK054_HUMAN	Q9H0W9
CREL1_HUMAN	Q96HD1
RAB12_HUMAN	Q6IQ22
SAP_HUMAN	P07602
ARL8A_HUMAN;ARL8B_HUMAN	Q96BM9
ZMYM2_HUMAN	Q9UBW7
S12A6_HUMAN	Q9UHW9
GD1L1_HUMAN	Q96MZ0
DDX6_HUMAN	P26196
H4_HUMAN	P62805
MXRA7_HUMAN	P84157
LRC40_HUMAN	Q9H9A6
CB39L_HUMAN	Q9H9S4
PKHA2_HUMAN	Q9HB19
PKHA1_HUMAN	Q9HB21
PHOCN_HUMAN	Q9Y3A3
I5P1_HUMAN	Q14642
PSMD6_HUMAN	Q15008
ARFG2_HUMAN	Q8N6H7
VNN2_HUMAN	O95498
5NT3A_HUMAN	Q9H0P0
CAVN2_HUMAN	O95810
CK5P3_HUMAN	Q96JB5
LDHD_HUMAN	Q86WU2
P5CR1_HUMAN	P32322
CADH1_HUMAN	P12830
RS17_HUMAN	P08708
MOGS_HUMAN	Q13724
PLCX3_HUMAN	Q63HM9
GALNS_HUMAN	P34059
NPTX2_HUMAN	P47972
NAGA_HUMAN	Q9Y303
RU17_HUMAN	P08621
ZNT3_HUMAN	Q99726
MEG10_HUMAN	Q96KG7
VGLU1_HUMAN	Q9P2U7
NSDHL_HUMAN	Q15738
ATE1_HUMAN	O95260
COR2B_HUMAN	Q9UQ03
TLN1_HUMAN;TLN2_HUMAN	Q9Y490
NEGR1_HUMAN	Q7Z3B1
DKK3_HUMAN	Q9UBP4
HEM3_HUMAN	P08397
ZFY16_HUMAN	Q7Z3T8
NDUB6_HUMAN	O95139
RHOC_HUMAN	P08134
HARS1_HUMAN;SYHM_HUMAN	P12081
TAU_HUMAN	P10636
SYFA_HUMAN	Q9Y285
MLP3A_HUMAN	Q9H492
CD81_HUMAN	P60033
GOGA4_HUMAN	Q13439
RHG17_HUMAN	Q68EM7
EFTS_HUMAN	P43897
MYL6B_HUMAN	P14649
PKHA7_HUMAN	Q6IQ23
ARHGI_HUMAN	Q6ZSZ5
NUCB2_HUMAN	P80303
PHS_HUMAN	P61457
CCD93_HUMAN	Q567U6
MYOF_HUMAN	Q9NZM1
PP6R3_HUMAN	Q5H9R7
JKIP2_HUMAN;JKIP3_HUMAN	Q96AA8
FBLN5_HUMAN	Q9UBX5
C1QA_HUMAN	P02745
LGAT1_HUMAN	Q92604
OPCM_HUMAN	Q14982
C1QB_HUMAN	P02746
IF2B2_HUMAN	Q9Y6M1
SC61G_HUMAN	P60059
EIF3B_HUMAN	P55884
RRAS_HUMAN	P10301
MANF_HUMAN	P55145
STX1A_HUMAN	Q16623
OST48_HUMAN	P39656
LRC57_HUMAN	Q8N9N7
CKLF5_HUMAN	Q96DZ9
PSD13_HUMAN	Q9UNM6
PHYIP_HUMAN	Q92561
STX7_HUMAN	O15400
FAF1_HUMAN	Q9UNN5
NDKA_HUMAN	P15531
NDKB_HUMAN	P22392
MIC25_HUMAN	Q9BRQ6
LONF2_HUMAN	Q1L5Z9
MBP_HUMAN	P02686
WDR81_HUMAN	Q562E7
HV145_HUMAN	A0A0A0MS14
REEP1_HUMAN	Q9H902
TGFB1_HUMAN	P01137
BRCC3_HUMAN	P46736
COMT_HUMAN	P21964
FKB15_HUMAN	Q5T1M5
NRIP2_HUMAN	Q9BQI9
S26A2_HUMAN	P50443
ACS2L_HUMAN	Q9NUB1
ACOX1_HUMAN	Q15067
TGM3_HUMAN	Q08188
RGL2_HUMAN	O15211
EMD_HUMAN	P50402
RASH_HUMAN;RASN_HUMAN	P01112
MLF2_HUMAN	Q15773
STOM_HUMAN	P27105
RASK_HUMAN	P01116
ACOT9_HUMAN	Q9Y305
NCK1_HUMAN	P16333
NCK2_HUMAN	O43639
RBSK_HUMAN	Q9H477
NDUB7_HUMAN	P17568
DLG1_HUMAN	Q12959
DLG2_HUMAN	Q15700
NUCKS_HUMAN	Q9H1E3
KV230_HUMAN	P06310
ACADS_HUMAN	P16219
ZMAT2_HUMAN	Q96NC0
STB5L_HUMAN	Q9Y2K9
ARHG6_HUMAN	Q15052
UBP24_HUMAN	Q9UPU5
SUSD2_HUMAN	Q9UGT4
MAR1_HUMAN	Q16655
CAMP1_HUMAN	Q5T5Y3
SH3G1_HUMAN;SH3G2_HUMAN	Q99961
KHDR3_HUMAN	O75525
PHF23_HUMAN	Q9BUL5
MSH2_HUMAN	P43246
ELP5_HUMAN	Q8TE02
CISD2_HUMAN	Q8N5K1
RBP2_HUMAN	P49792
GPSM1_HUMAN	Q86YR5
COG5_HUMAN	Q9UP83
GPN1_HUMAN	Q9HCN4
S10AD_HUMAN	Q99584
ASHWN_HUMAN	Q9BVC5
MICA3_HUMAN	Q7RTP6
VPS41_HUMAN	P49754
CIAO1_HUMAN	O76071
RRP1_HUMAN	P56182
NHLC2_HUMAN	Q8NBF2
NCF2_HUMAN	P19878
RAB21_HUMAN	Q9UL25
LEG1_HUMAN	P09382
LV39_HUMAN	A0A075B6K5
K1107_HUMAN	Q5XKL5
XRCC1_HUMAN	P18887
MCEE_HUMAN	Q96PE7
PROF1_HUMAN;sp|CONTAMINANT_P02584	P07737
EDC4_HUMAN	Q6P2E9
RHG26_HUMAN	Q9UNA1
RAB3C_HUMAN	Q96E17
CAC1B_HUMAN	Q00975
CAC1A_HUMAN	O00555
RAB43_HUMAN	Q86YS6
BLVRB_HUMAN	P30043
AP3M2_HUMAN	P53677
FARP2_HUMAN	O94887
CRKL_HUMAN	P46109
CO4A_HUMAN;CONTAMINANT_ENSBTAP00000007350	P0C0L4
PLCG2_HUMAN	P16885
DEMA_HUMAN	Q08495
ECSIT_HUMAN	Q9BQ95
CI072_HUMAN	Q96LT7
1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN	P31946
1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433T_HUMAN;1433Z_HUMAN	P31946
DUS6_HUMAN	Q16828
RAB6B_HUMAN	Q9NRW1
RAB6A_HUMAN	P20340
PLIN2_HUMAN	Q99541
MEP50_HUMAN	Q9BQA1
CASP1_HUMAN	P29466
ALG2_HUMAN	Q9H553
TF3C5_HUMAN	Q9Y5Q8
MAG_HUMAN	P20916
ATG4B_HUMAN	Q9Y4P1
SRPX_HUMAN	P78539
MTL26_HUMAN	Q96S19
HACE1_HUMAN	Q8IYU2
ARPC3_HUMAN	O15145
CALL3_HUMAN	P27482
SEP11_HUMAN;SEPT6_HUMAN	Q9NVA2
AKAP5_HUMAN	P24588
KPCT_HUMAN	Q04759
MPI_HUMAN	P34949
RS20_HUMAN	P60866
DPOLA_HUMAN	P09884
RANB3_HUMAN	Q9H6Z4
GNA12_HUMAN	Q03113
BODG_HUMAN	O75936
GNA11_HUMAN;GNAQ_HUMAN	P29992
GOLM1_HUMAN	Q8NBJ4
GNAI1_HUMAN;GNAI2_HUMAN;GNAI3_HUMAN	P63096
IGHG3_HUMAN	P01860
SMC4_HUMAN	Q9NTJ3
NPTXR_HUMAN	O95502
DPP9_HUMAN	Q86TI2
AEBP1_HUMAN	Q8IUX7
IGSF8_HUMAN	Q969P0
DOK2_HUMAN	O60496
THMS2_HUMAN	Q5TEJ8
TIAR_HUMAN	Q01085
HV146_HUMAN	P01743
VATF_HUMAN	Q16864
WDR26_HUMAN	Q9H7D7
AMOT_HUMAN	Q4VCS5
ZCH18_HUMAN	Q86VM9
GRM3_HUMAN	Q14832
DIRA1_HUMAN	O95057
NNMT_HUMAN	P40261
TCEA1_HUMAN	P23193
ATG7_HUMAN	O95352
CA2D3_HUMAN	Q8IZS8
CAB39_HUMAN	Q9Y376
CBR3_HUMAN	O75828
ADA2_HUMAN	Q9NZK5
SEC13_HUMAN	P55735
CHMP3_HUMAN	Q9Y3E7
CIAO3_HUMAN	Q9H6Q4
SNX6_HUMAN	Q9UNH7
ZC3HF_HUMAN	Q8WU90
PSD3_HUMAN	Q9NYI0
NUP85_HUMAN	Q9BW27
NUBP1_HUMAN	P53384
RM49_HUMAN	Q13405
SKT_HUMAN	Q5T5P2
PI42A_HUMAN;PI42B_HUMAN	P48426
HYEP_HUMAN	P07099
EAA1_HUMAN	P43003
GT251_HUMAN	Q8NBJ5
CUL4A_HUMAN;CUL4B_HUMAN	Q13619
YTDC1_HUMAN	Q96MU7
MND1_HUMAN	Q9BWT6
RL27_HUMAN	P61353
ODPX_HUMAN	O00330
FXR1_HUMAN	P51114
NU160_HUMAN	Q12769
RS12_HUMAN	P25398
DHTK1_HUMAN	Q96HY7
KC1D_HUMAN	P48730
ROCK1_HUMAN;ROCK2_HUMAN	Q13464
MP2K1_HUMAN;MP2K2_HUMAN	Q02750
CPNE5_HUMAN	Q9HCH3
CPNE8_HUMAN	Q86YQ8
KIF5C_HUMAN;KINH_HUMAN	O60282
NAA50_HUMAN	Q9GZZ1
RM45_HUMAN	Q9BRJ2
KCNC1_HUMAN;KCNC2_HUMAN	P48547
SPSY_HUMAN	P52788
SYEM_HUMAN	Q5JPH6
ASAH1_HUMAN	Q13510
TBA1C_HUMAN;TBA3E_HUMAN	Q9BQE3
PRPF3_HUMAN	O43395
CYB_HUMAN	P00156
AOFA_HUMAN	P21397
KI13B_HUMAN	Q9NQT8
PA24A_HUMAN	P47712
PTGR2_HUMAN	Q8N8N7
HV64D_HUMAN	A0A0J9YX35
BCS1_HUMAN	Q9Y276
HEMO_HUMAN	P02790
RT4I1_HUMAN	Q8WWV3
DIP2B_HUMAN	Q9P265
GAN_HUMAN	Q9H2C0
RPC4_HUMAN	P05423
PACS1_HUMAN	Q6VY07
OSBL9_HUMAN	Q96SU4
GGCT_HUMAN	O75223
MTMR2_HUMAN	Q13614
NEO1_HUMAN	Q92859
NOVA1_HUMAN	P51513
WASF2_HUMAN	Q9Y6W5
PDIA5_HUMAN	Q14554
KPCA_HUMAN;KPCB_HUMAN	P17252
PLGT3_HUMAN	Q7Z4H8
C1S_HUMAN	P09871
ODO1_HUMAN;OGDHL_HUMAN	Q02218
VTNC_HUMAN	P04004
S40A1_HUMAN	Q9NP59
PDE1A_HUMAN;PDE1C_HUMAN	P54750
GDIA_HUMAN;GDIB_HUMAN	P31150
DDX5_HUMAN	P17844
GLRX5_HUMAN	Q86SX6
RB22A_HUMAN	Q9UL26
GGH_HUMAN	Q92820
UBF1_HUMAN	P17480
SPC25_HUMAN	Q9HBM1
PAXI_HUMAN	P49023
ROA2_HUMAN	P22626
RA1L2_HUMAN;ROA1_HUMAN	Q32P51
SCMC1_HUMAN	Q6NUK1
MAGC2_HUMAN	Q9UBF1
DPP6_HUMAN	P42658
T132E_HUMAN	Q6IEE7
RM15_HUMAN	Q9P015
NELFD_HUMAN	Q8IXH7
STAR7_HUMAN	Q9NQZ5
PURA_HUMAN	Q00577
APMAP_HUMAN	Q9HDC9
S35U4_HUMAN	L0R6Q1
RRF2M_HUMAN	Q969S9
HLAE_HUMAN	P13747
ATP5S_HUMAN	Q99766
MARE3_HUMAN	Q9UPY8
ALDR_HUMAN	P15121
COG3_HUMAN	Q96JB2
RHG39_HUMAN	Q9C0H5
COIL_HUMAN	P38432
LRP1B_HUMAN	Q9NZR2
LGMN_HUMAN	Q99538
PTBP2_HUMAN	Q9UKA9
ODR4_HUMAN	Q5SWX8
DNJB4_HUMAN	Q9UDY4
PYGL_HUMAN;PYGM_HUMAN	P06737
ANM1_HUMAN;ANM8_HUMAN	Q99873
DNJB1_HUMAN	P25685
ALKB5_HUMAN	Q6P6C2
SPF27_HUMAN	O75934
TXD12_HUMAN	O95881
RCC1L_HUMAN	Q96I51
RS5_HUMAN	P46782
APEX1_HUMAN	P27695
F120A_HUMAN	Q9NZB2
TIM14_HUMAN	Q96DA6
NDUF3_HUMAN	Q9BU61
SVIP_HUMAN	Q8NHG7
IMA3_HUMAN;IMA4_HUMAN	O00629
IMA5_HUMAN	P52294
IMA7_HUMAN	O60684
IMA5_HUMAN;IMA7_HUMAN	P52294
R4RL2_HUMAN	Q86UN3
PFD1_HUMAN	O60925
DLGP3_HUMAN	O95886
TRI56_HUMAN	Q9BRZ2
M3K20_HUMAN	Q9NYL2
NTRK2_HUMAN;NTRK3_HUMAN	Q16620
EFNB3_HUMAN	Q15768
COBL1_HUMAN	Q53SF7
KCD16_HUMAN	Q68DU8
KCTD8_HUMAN	Q6ZWB6
CETN2_HUMAN	P41208
PNPO_HUMAN	Q9NVS9
GSKIP_HUMAN	Q9P0R6
PIGS_HUMAN	Q96S52
AT1A3_HUMAN;AT1A4_HUMAN	P13637
CALL3_HUMAN;CALM2_HUMAN	P27482
SMC6_HUMAN	Q96SB8
PLS1_HUMAN	O15162
FA98C_HUMAN	Q17RN3
FLNB_HUMAN;FLNC_HUMAN	O75369
B2CL1_HUMAN	Q07817
CENPB_HUMAN	P07199
GNPI2_HUMAN	Q8TDQ7
CH3L1_HUMAN	P36222
SYDC_HUMAN	P14868
FEN1_HUMAN	P39748
5NT1A_HUMAN	Q9BXI3
PLCB2_HUMAN	Q00722
CHM4A_HUMAN	Q9BY43
DYLT1_HUMAN	P63172
GBP2_HUMAN;GBP5_HUMAN	P32456
STXB3_HUMAN	O00186
NOSIP_HUMAN	Q9Y314
MTREX_HUMAN	P42285
DDX27_HUMAN	Q96GQ7
PESC_HUMAN	O00541
AOC3_HUMAN	Q16853
CROCC_HUMAN	Q5TZA2
TMOD3_HUMAN	Q9NYL9
CHM4B_HUMAN	Q9H444
CND3_HUMAN	Q9BPX3
PDP1_HUMAN	Q9P0J1
MMTA2_HUMAN	Q9BU76
TM143_HUMAN	Q96AN5
ACATN_HUMAN	O00400
LY75_HUMAN	O60449
RAI14_HUMAN	Q9P0K7
DPOE3_HUMAN	Q9NRF9
LONP2_HUMAN	Q86WA8
AS3MT_HUMAN	Q9HBK9
MAGA4_HUMAN	P43358
PLS3_HUMAN	Q9NRY6
IF4H_HUMAN	Q15056
IPO9_HUMAN	Q96P70
CSK22_HUMAN	P19784
CSK21_HUMAN	P68400
NOP56_HUMAN	O00567
MITOS_HUMAN	Q9NUT2
KI13A_HUMAN	Q9H1H9
NDUBB_HUMAN	Q9NX14
UBQL1_HUMAN;UBQL2_HUMAN;UBQL4_HUMAN	Q9UMX0
SCG3_HUMAN	Q8WXD2
DHYS_HUMAN	P49366
LFG2_HUMAN	Q9BWQ8
RPGF2_HUMAN	Q9Y4G8
TM109_HUMAN	Q9BVC6
APOBR_HUMAN	Q0VD83
PCD23_HUMAN	Q6V1P9
GAPR1_HUMAN	Q9H4G4
SREK1_HUMAN	Q8WXA9
AT2B1_HUMAN;AT2B3_HUMAN;AT2B4_HUMAN	P20020
CNTP4_HUMAN	Q9C0A0
MNDA_HUMAN	P41218
S27A1_HUMAN	Q6PCB7
P66A_HUMAN	Q86YP4
SUMF2_HUMAN	Q8NBJ7
ENPL_HUMAN	P14625
PRS6B_HUMAN	P43686
CAYP1_HUMAN	Q13938
ETHE1_HUMAN	O95571
RM44_HUMAN	Q9H9J2
CRYM_HUMAN	Q14894
PROS_HUMAN	P07225
SFXN5_HUMAN	Q8TD22
TSN_HUMAN	Q15631
ACSL4_HUMAN	O60488
TMED5_HUMAN	Q9Y3A6
RS4X_HUMAN	P62701
MTX1_HUMAN	Q13505
HPBP1_HUMAN	Q9NZL4
TBAL3_HUMAN	A6NHL2
CADM1_HUMAN	Q9BY67
CCD43_HUMAN	Q96MW1
PPAC_HUMAN	P24666
GOLI4_HUMAN	O00461
FIBB_HUMAN;sp|CONTAMINANT_P02676	P02675
UBA7_HUMAN	P41226
NU153_HUMAN	P49790
RN5A_HUMAN	Q05823
UBP11_HUMAN	P51784
ITPR2_HUMAN	Q14571
MMS19_HUMAN	Q96T76
LYST_HUMAN	Q99698
EIF3G_HUMAN	O75821
RAB23_HUMAN	Q9ULC3
IF5A1_HUMAN	P63241
COF1_HUMAN;COF2_HUMAN	P23528
CPT1C_HUMAN	Q8TCG5
PLEK_HUMAN	P08567
NU6M_HUMAN	P03923
NP1L1_HUMAN	P55209
GBG4_HUMAN	P50150
COX5B_HUMAN	P10606
KDM3B_HUMAN	Q7LBC6
TBCD5_HUMAN	Q92609
H90B3_HUMAN;H90B4_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF7
H90B3_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF7
CWC27_HUMAN	Q6UX04
RPN2_HUMAN	P04844
LSP1_HUMAN	P33241
CMGA_HUMAN	P10645
CD82_HUMAN	P27701
ROA3_HUMAN	P51991
BCAS1_HUMAN	O75363
3BP1_HUMAN	Q9Y3L3
ROA1_HUMAN	P09651
GBP2_HUMAN	P32456
YBOX1_HUMAN;YBOX3_HUMAN	P67809
CMTR1_HUMAN	Q8N1G2
LYRIC_HUMAN	Q86UE4
TPPP3_HUMAN	Q9BW30
PIN1_HUMAN	Q13526
VATG1_HUMAN	O75348
B4GA1_HUMAN	O43505
VATG2_HUMAN	O95670
PSB6_HUMAN	P28072
UCHL5_HUMAN	Q9Y5K5
SSRA_HUMAN	P43307
ACTG_HUMAN	P63261
MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN	P35749
MYH14_HUMAN;MYH9_HUMAN	Q7Z406
CLM8_HUMAN	Q9UGN4
KCNA2_HUMAN	P16389
CLIC1_HUMAN	O00299
UBQL1_HUMAN;UBQL2_HUMAN	Q9UMX0
TM201_HUMAN	Q5SNT2
UCP5_HUMAN	O95258
AL1B1_HUMAN	P30837
AL1A1_HUMAN	P00352
LPXN_HUMAN	O60711
EVL_HUMAN	Q9UI08
VASP_HUMAN	P50552
HM13_HUMAN	Q8TCT9
TE2IP_HUMAN	Q9NYB0
MTAP_HUMAN	Q13126
PTN1_HUMAN	P18031
PFD6_HUMAN	O15212
SV2A_HUMAN	Q7L0J3
NAPEP_HUMAN	Q6IQ20
SAR1B_HUMAN	Q9Y6B6
TPSNR_HUMAN	Q9BX59
TSR1_HUMAN	Q2NL82
CTNA1_HUMAN;CTNA2_HUMAN	P35221
NDRG1_HUMAN	Q92597
FIS1_HUMAN	Q9Y3D6
MSRE_HUMAN	P21757
SMAP_HUMAN	O00193
PP2BA_HUMAN;PP2BB_HUMAN	Q08209
NBN_HUMAN	O60934
CXCL7_HUMAN	P02775
SYLM_HUMAN	Q15031
T22D1_HUMAN	Q15714
KIF11_HUMAN	P52732
TBB3_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	Q13509
TBB4B_HUMAN;TBB5_HUMAN	P68371
LS14A_HUMAN	Q8ND56
RAB1A_HUMAN;RAB1B_HUMAN;RAB1C_HUMAN	P62820
RAB17_HUMAN	Q9H0T7
GSDME_HUMAN	O60443
SNX27_HUMAN	Q96L92
FRM4A_HUMAN	Q9P2Q2
SVOP_HUMAN	Q8N4V2
CALD1_HUMAN	Q05682
NTNG2_HUMAN	Q96CW9
DDAH1_HUMAN;DDAH2_HUMAN	O94760
NUDT9_HUMAN	Q9BW91
CPNE5_HUMAN;CPNE8_HUMAN;CPNE9_HUMAN	Q9HCH3
TPPC8_HUMAN	Q9Y2L5
XPO4_HUMAN	Q9C0E2
DMP34_HUMAN	Q6PK57
NIPS2_HUMAN	O75323
UBL3_HUMAN	O95164
SPN90_HUMAN	Q9NZQ3
SLD5_HUMAN	Q9BRT9
SMRD1_HUMAN	Q96GM5
SYSC_HUMAN	P49591
MTPN_HUMAN	P58546
ATX2L_HUMAN	Q8WWM7
S10AA_HUMAN	P60903
ITAM_HUMAN	P11215
T2FA_HUMAN	P35269
PABP4_HUMAN	Q13310
PABP1_HUMAN	P11940
